event,team_h,team_a,team_h_difficulty,team_a_difficulty,finished
21,16,6,3,3,True
21,19,2,3,3,True
21,19,7,3,3,True
21,19,16,3,3,True
22,2,1,3,3,True
22,2,9,3,3,True
22,6,4,3,3,True
22,7,5,3,3,True
22,8,9,3,3,True
22,8,15,3,3,True
22,9,5,3,3,True
22,11,10,3,3,True
22,11,19,3,3,True
22,12,3,3,3,True
22,14,10,3,3,True
22,14,13,3,3,True
22,14,16,3,3,True
22,16,1,3,3,True
22,17,8,3,3,True
22,17,13,3,3,True
22,18,3,3,3,True
22,18,6,3,3,True
22,18,19,3,3,True
22,20,15,3,3,True
23,1,14,3,3,True
23,3,17,3,3,True
23,3,18,3,3,True
23,4,12,3,3,True
23,5,2,3,3,True
23,5,16,3,3,True
23,6,17,3,3,True
23,8,7,3,3,True
23,8,9,3,3,True
23,9,11,3,3,True
23,10,6,3,3,True
23,10,20,3,3,True
23,13,8,3,3,True
23,13,20,3,3,True
23,15,2,3,3,True
23,15,8,3,3,True
23,16,20,3,3,True
23,19,6,3,3,True
23,19,17,3,3,True
24,2,5,3,3,True
24,6,9,3,3,True
24,7,19,3,3,True
24,8,4,3,3,True
24,8,5,3,3,True
24,9,19,3,3,True
24,11,1,3,3,True
24,12,15,3,3,True
24,14,10,3,3,True
24,16,8,3,3,True
24,17,3,3,3,True
24,18,13,3,3,True
24,18,16,3,3,True
24,20,4,3,3,True
25,1,17,3,3,True
25,3,19,3,3,True
25,4,2,3,3,True
25,6,8,3,3,True
25,10,9,3,3,True
25,11,16,3,3,True
25,12,13,3,3,True
25,14,18,3,3,True
25,15,5,3,3,True
25,20,7,3,3,True
26,2,6,3,3,True
26,5,1,3,3,True
26,7,11,3,3,True
26,8,3,3,3,True
26,9,4,3,3,True
26,13,10,3,3,True
26,16,20,3,3,True
26,17,12,3,3,True
26,18,15,3,3,True
26,19,14,3,3,True
26,20,1,3,3,True
27,2,11,3,3,True
27,5,6,3,3,True
27,7,3,3,3,True
27,8,20,3,3,True
27,9,14,3,3,True
27,13,15,3,3,True
27,16,12,3,3,True
27,17,10,3,3,True
27,18,1,3,3,True
27,19,4,3,3,True
28,1,7,3,3,True
28,3,5,3,3,True
28,4,17,3,3,True
28,6,16,3,3,True
28,10,18,3,3,True
28,11,13,3,3,True
28,12,19,3,3,True
28,14,8,3,3,True
28,15,9,3,3,True
28,20,2,3,3,True
29,2,7,3,3,True
29,4,5,3,3,True
29,6,1,3,3,True
29,9,3,3,3,True
29,10,19,3,3,True
29,11,17,3,3,True
29,13,16,3,3,True
29,15,14,3,3,True
29,18,8,3,3,True
29,20,12,3,3,True
30,1,9,3,3,True
30,3,4,3,3,True
30,5,20,3,3,True
30,7,15,3,3,True
30,8,11,3,3,True
30,12,18,3,3,True
30,14,2,3,3,True
30,16,10,3,3,True
30,17,6,3,3,True
30,19,13,3,3,True
31,2,19,3,3,True
31,4,14,3,3,True
31,6,12,3,3,True
31,9,7,3,3,True
31,10,3,3,3,True
31,11,5,3,3,True
31,15,17,3,3,True
31,18,16,3,3,True
32,1,4,3,3,True
32,3,6,3,3,True
32,5,9,3,3,True
32,7,13,3,3,True
32,8,15,3,3,True
32,12,10,3,3,True
32,14,11,3,3,True
32,16,2,3,3,True
32,17,18,3,3,True
32,19,20,3,3,True
33,2,17,3,3,True
33,3,13,3,3,True
33,4,11,3,3,True
33,5,10,3,3,True
33,6,7,3,3,True
33,7,14,3,3,True
33,8,19,3,3,True
33,9,12,3,3,True
33,11,20,3,3,True
33,13,1,3,3,True
33,15,4,3,3,True
33,16,3,3,3,True
33,18,6,3,3,True
34,1,15,3,3,True
34,10,2,3,3,True
34,12,8,3,3,True
34,14,5,3,3,True
34,17,16,3,3,True
34,19,9,3,3,True
34,20,18,3,3,True
35,1,10,3,3,True
35,2,18,3,3,True
35,4,8,3,3,True
35,5,19,3,3,True
35,7,16,3,3,True
35,9,13,3,3,True
35,11,3,3,3,True
35,14,12,3,3,True
35,15,6,3,3,True
35,20,17,3,3,True
36,3,2,3,3,True
36,6,20,3,3,True
36,8,9,3,3,True
36,10,4,3,3,True
36,12,7,3,3,True
36,13,5,3,3,True
36,13,8,3,3,True
36,16,15,3,3,True
36,17,14,3,3,True
36,18,11,3,3,True
36,19,1,3,3,True
37,1,3,3,3,True
37,2,12,3,3,True
37,4,13,3,3,True
37,5,8,3,3,True
37,7,18,3,3,True
37,9,17,3,3,True
37,11,6,3,3,True
37,14,16,3,3,True
37,15,19,3,3,True
37,20,10,3,3,True
38,3,20,3,3,True
38,6,14,3,3,True
38,8,1,3,3,True
38,10,15,3,3,True
38,12,5,3,3,True
38,13,2,3,3,True
38,16,4,3,3,True
38,17,7,3,3,True
38,18,9,3,3,True
38,19,11,3,3,True
